Model_Name,Experiment_Time,Total_Params,Mean_IoU
Baseline,250612_020604,7763041,0.3877353623705565
Baseline,250612_022650,7763041,0.3853425942101723
LCNet,250612_031035,508258,0.2581326899761061
LCNet,250612_032355,508258,0.2749228737270442
LCNet,250612_033942,508258,0.1796401198967991
Baseline,250612_232032,7763041,0.4531797609590111
LEDNet,250613_004419,918105,0.1201330261419244
SINet,250613_015805,212226,0.175863716205792
SINet,250613_021114,212226,0.1505649633865157
LCNet,250613_125539,508258,0.2024504262653284
LCNet,250613_132229,508258,0.1396987754564165
LCNet,250613_155605,508258,0.1396596151501643
LCNet,250613_193440,508258,0.3410770657785941
MicroUNet,250613_195033,2148,0.0871636099281777
MicroUNet,250613_200841,3452,0.1673129490424944
MicroUNet,250613_202028,15100,0.2312765738565554
MicroUNetv2,250613_204355,15112,0.2624174613000595
MicroUNetv2,250613_220249,15112,0.2624276835819591
MicroUNetv3,250613_222357,55588,0.2830428174448908
MicroUNetv3,250613_223843,55588,0.3101702955044049
MicroUNetv3,250613_225923,55588,0.3053511029601288
MicroUNetv3,250613_235433,55588,0.3189193390619354
MicroUNetv3,250614_000658,55588,0.3761130444798503
MicroUNetv3,250614_002348,55577,0.2999923906172874
MicroUNetv4,250614_003643,39857,0.3106154177819226
MicroUNetv4,250614_005447,39857,0.3083301052614418
MicroUNetv4,250614_011536,39856,0.3717707758961376
MicroUNetv5,250614_012936,57539,0.3756687425011967
MicroUNetv4,250614_014712,39856,0.2880210668369428
MicroUNetv6,250614_020129,62680,0.306753678531002
